name,calories,cholesterol,folic_acid,vitamin_c,vitamin_d,calcium,iron,protein,carbohydrate,fiber,sugars,fat
"Semolina, unenriched",360,0.0,0.0,0.0,0.0,17.0,1.23,12.68,72.83,3.9,0.0,1.05
"Grape leaves, canned",69,0.0,0.0,11.3,0.0,289.0,2.98,4.27,11.71,9.9,0.0,1.97
"Spices, round, sae",315,0.0,0.0,32.4,0.0,1652.0,28.12,10.63,60.73,40.3,1.71,12.75
"PACE, Red Taco Sauce",50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,6.25,0.0
"DENNY'S, hash browns",197,0.0,0.0,0.0,0.0,17.0,0.56,2.49,26.59,2.7,1.38,8.99
"DENNY'S, onion rins",385,0.0,0.0,0.0,0.0,22.0,0.74,5.29,41.05,2.4,4.76,22.23
"Ostrich, raw, oyster",125,73.0,0.0,0.0,0.0,6.0,3.86,21.55,0.0,0.0,0.0,3.67
"Oil, corn and canola",884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Pumpkin flowers, raw",15,0.0,0.0,28.0,0.0,39.0,0.7,1.03,3.28,0.0,0.0,0.07
"Celery flakes, dried",319,0.0,0.0,86.5,0.0,587.0,7.83,11.3,63.7,27.8,35.9,2.1
"Crackers, e, matzo",391,83.0,0.0,0.1,0.0,40.0,2.7,12.3,78.6,2.8,0.0,2.1
"Loanberries, frozen",55,0.0,0.0,15.3,0.0,26.0,0.64,1.52,13.02,5.3,7.7,0.31
"Tanerine juice, raw",43,0.0,0.0,31.0,0.0,18.0,0.2,0.5,10.1,0.2,9.9,0.2
"Soybeans, raw, reen",147,0.0,0.0,29.0,0.0,197.0,3.55,12.95,11.05,4.2,0.0,6.8
"Soybean, curd cheese",151,0.0,0.0,0.0,0.0,188.0,5.6,12.5,6.9,0.0,1.6,8.1
"Game meat, raw, bear",161,0.0,0.0,0.0,0.0,3.0,6.65,20.1,0.0,0.0,0.0,8.3
"Game meat, raw, deer",120,85.0,0.0,0.0,0.0,5.0,3.4,22.96,0.0,0.0,0.0,2.42
"Oranes, navels, raw",49,0.0,0.0,59.1,0.0,43.0,0.13,0.91,12.54,2.2,8.5,0.15
"Tostada shells, corn",474,0.0,0.0,0.0,0.0,76.0,1.53,6.15,64.43,5.8,0.0,23.38
"Fish, raw, swordfish",144,66.0,0.0,0.0,558.0,5.0,0.38,19.66,0.0,0.0,0.0,6.65
"Taro, raw, tahitian",44,0.0,0.0,96.0,0.0,129.0,1.3,2.79,6.91,0.0,0.0,0.97
"Chicory reens, raw",23,0.0,0.0,24.0,0.0,100.0,0.9,1.7,4.7,4.0,0.7,0.3
"Hearts of palm, raw",115,0.0,0.0,8.0,0.0,18.0,1.69,2.7,25.61,1.5,17.16,0.2
"Chayote, raw, fruit",19,0.0,0.0,7.7,0.0,17.0,0.34,0.82,4.51,1.7,1.66,0.13
"Fish, smoked, cisco",177,32.0,0.0,0.0,530.0,26.0,0.49,16.36,0.0,0.0,0.0,11.9
"Frankfurter, turkey",223,77.0,1.0,0.0,23.0,148.0,1.47,12.23,3.81,0.0,1.21,17.29
"Candies, jellybeans",375,0.0,0.0,0.0,0.0,3.0,0.13,0.0,93.55,0.2,70.0,0.05
"Oil, ucuhuba butter",884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Soy protein isolate,335,0.0,0.0,0.0,0.0,178.0,14.5,88.32,0.0,0.0,0.0,3.39
"Syrups, liht, corn",283,0.0,0.0,0.0,0.0,13.0,0.0,0.0,76.79,0.0,76.77,0.2
"Fish, raw, milkfish",148,52.0,0.0,0.0,0.0,51.0,0.32,20.53,0.0,0.0,0.0,6.73
"Fish, raw, monkfish",76,25.0,0.0,1.0,0.0,8.0,0.32,14.48,0.0,0.0,0.0,1.52
"Mother's loaf, pork",282,45.0,0.0,1.0,40.0,43.0,1.32,12.07,7.53,0.0,0.0,22.3
"Tapioca, dry, pearl",358,0.0,0.0,0.0,0.0,20.0,1.58,0.19,88.69,0.9,3.35,0.02
"Guavas, raw, common",68,0.0,0.0,228.3,0.0,18.0,0.26,2.55,14.32,5.4,8.92,0.95
"Spices, celery seed",392,0.0,0.0,17.1,0.0,1767.0,44.9,18.07,41.35,11.8,0.67,25.27
"Candies, peanut bar",522,0.0,0.0,0.0,0.0,78.0,0.97,15.5,47.4,4.1,42.22,33.7
"Bread, toasted, rye",284,0.0,64.0,0.2,0.0,80.0,3.1,9.4,53.1,6.4,4.23,3.6
"Oil, apricot kernel",884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Candies, YORK BITES",394,1.0,0.0,0.0,0.0,10.0,0.94,1.78,81.64,2.0,75.0,7.32
"Meatballs, meatless",197,0.0,0.0,0.0,0.0,25.0,2.16,21.0,8.0,4.6,1.25,9.0
"Emu, raw, full rump",112,85.0,0.0,0.0,0.0,4.0,4.96,22.83,0.0,0.0,0.0,1.64
